price,parking,bathrooms,bedrooms,suburb,propertyType
707500.0,2,2,4,Mawson,house
755000.0,2,1,4,Amaroo,house
550000.0,1,2,3,Hughes,house
380000.0,2,2,4,Evatt,house
389000.0,0,1,3,Fisher,house
415000.0,2,2,3,Conder,house
557000.0,2,2,4,Rivett,house
585000.0,2,2,4,Garran,house
595000.0,0,1,2,Narrabundah,house
875000.0,2,1,5,Conder,house
367500.0,2,1,4,Ngunnawal,house
372000.0,0,1,3,Page,house
478000.0,2,2,3,Watson,house
549000.0,1,2,3,Curtin,house
575000.0,4,2,4,Fraser,house
594000.0,2,2,4,Calwell,house
662500.0,2,2,2,Turner,house
350000.0,2,2,3,Kambah,house
450000.0,2,2,3,Dunlop,house
455000.0,1,2,4,Fadden,house
350000.0,1,1,3,Theodore,house
350000.0,1,1,3,Theodore,house
875000.0,2,1,6,Red Hill,house
390000.0,2,1,3,Gowrie,house
332000.0,1,1,3,Banks,house
380000.0,2,2,3,Wanniassa,house
405000.0,1,2,4,Gowrie,house
460000.0,1,2,4,Calwell,house
450000.0,1,2,4,Palmerston,house
675000.0,2,2,4,Evatt,house
355000.0,2,2,3,Wanniassa,house
473000.0,2,2,4,Calwell,house
560000.0,3,2,4,Rivett,house
450000.0,2,1,4,Ngunnawal,house
450000.0,2,2,4,Evatt,house
347000.0,2,1,3,Scullin,house
359950.0,2,1,3,Dunlop,house
1030000.0,2,1,3,O'Connor,house
350000.0,2,1,3,Conder,house
50000.0,2,2,4,Waramanga,house
338500.0,1,1,3,Monash,house
390000.0,1,2,3,Holder,house
50000.0,0,2,3,Nicholls,house
300000.0,2,1,3,Charnwood,house
378000.0,3,1,3,Scullin,house
400000.0,0,2,4,Holder,house
453000.0,2,2,4,Gowrie,house
476600.0,2,2,4,Florey,house
677500.0,2,2,4,Kambah,house
749950.0,0,1,4,Ainslie,house
450000.0,2,2,2,Braddon,house
390000.0,1,1,3,Gordon,house
450000.0,2,2,4,Banks,house
50000.0,2,2,3,Forrest,house
50000.0,4,1,3,Weston,house
435000.0,2,2,3,Holder,house
507500.0,2,2,4,Evatt,house
350000.0,2,1,3,Richardson,house
350000.0,2,1,3,Richardson,house
395000.0,2,2,3,Stirling,house
399000.0,1,1,3,Wanniassa,house
420000.0,0,2,3,Phillip,house
420000.0,2,2,4,Amaroo,house
450000.0,1,1,3,Monash,house
525000.0,1,1,2,O'Connor,house
595000.0,3,2,4,Hackett,house
910000.0,3,1,3,O'Connor,house
50000.0,2,2,3,Conder,house
450000.0,2,2,4,Holder,house
395000.0,2,2,3,Rivett,house
552500.0,2,2,3,Garran,house
450000.0,2,2,3,Gungahlin,house
375000.0,2,2,3,Amaroo,house
440000.0,1,2,3,Isaacs,house
550000.0,1,1,4,Watson,house
305000.0,1,1,2,Holt,house
319000.0,0,2,3,MacGregor,house
352000.0,1,1,3,Evatt,house
495000.0,0,2,4,Kaleen,house
530000.0,2,2,4,Duffy,house
646000.0,2,2,3,Deakin,house
690000.0,1,3,3,Turner,house
342000.0,0,1,2,Narrabundah,house
420000.0,2,1,3,Fisher,house
